Time,Gyro_X,Gyro_Y,Gyro_Z
0,0.000512443793316682,0.000283866655081511,0.000842482938120762
0.005,0.00345314596520396,0.000193094214536907,-0.0023171548853899
0.01,0.00102841668047459,0.00230347421030569,-0.00751459895638354
0.015,-0.00599056737821289,0.00354712558402088,-0.00807770605585841
0.02,-0.00953389620942203,0.00160949845391515,0.0021414309700487
0.025,-0.00746651802747027,-0.00133745066217343,0.00417188539909953
0.03,-0.000906142880189198,-0.00531721713715192,-0.00137212893429768
0.035,-0.00141024057094927,-0.00510653647993812,-0.000961665680018534
0.04,0.000245535804298668,-0.00120041909183199,-0.001981032236901
0.045,0.00100647115862,0.000248443606204917,-0.00299972227559217
0.05,2.94723439285174e-05,0.00187184994717701,-0.00609870069870101
0.055,0.00117046261313613,0.0036879772192581,-0.00453211236842681
0.06,-0.00453618230782026,0.00581246620922359,-0.00257639881137322
0.065,-0.00903085464800144,0.00550196386391778,-0.0011160414582005
0.07,-0.00597014103599518,0.00597390260736567,-0.00111521601318304
0.075,-0.00102504305372907,0.00349680639029205,0.00405515438311024
0.08,0.000244666070575846,-0.00564113134519292,0.0078663572426995
0.085,-0.000986763526203206,-0.00282262815270099,0.00295573467269276
0.09,-0.00283231562134902,0.00266515160550084,0.00224778211422003
0.095,-0.00266339671629202,0.00288655016828622,0.00202299135788914
0.1,0.00156281994501007,0.00526178232336966,-0.00412232695130322
0.105,0.00261276415163186,0.00518057768574517,-0.00717566093975057
0.11,-0.00248429443057697,-0.0017841283929488,-0.00629076285430724
0.115,-0.00193965685081799,-0.00401593366096039,-0.00243421644949506
0.12,0.00521389691911014,-0.00209434605946147,0.0016276114372893
0.125,0.00664048624880149,-0.000210658248867645,0.0007246134692032
0.13,0.0076841390432307,0.00380285299464367,-0.00169554491168523
0.135,0.00584619189422252,0.00275604723148236,-0.00145595474041221
0.14,0.00149517260440588,-0.000713298662297257,0.00208445240988033
0.145,0.0018326381461606,-0.00444693773788149,-0.00228969399352473
0.15,0.001944796922024,-0.00670007185908881,-0.00258040757117455
0.155,0.00154365390406441,-0.00410067799145994,-0.0031242138369234
0.16,-0.0012576835448263,-0.00167599423951719,-0.0029391598178465
