Time,ACC_X,ACC_Y,ACC_Z
0,0.241597255071004,0.127896179755529,9.78568108876546
0.005,0.207590476552479,0.140280381403926,9.77687581309369
0.01,0.149981396266567,0.158668172424251,9.74104708893946
0.015,0.158699398846674,0.137824905489395,9.74355301480508
0.02,0.215559009716718,0.119584317782536,9.75199242482351
0.025,0.23725690709369,0.105320505560991,9.78002038872531
0.03,0.206534086430145,0.0913345001813757,9.81971232366274
0.035,0.171120488968536,0.130630941446677,9.77834543354224
0.04,0.181899025556427,0.144575441957487,9.75622089101399
0.045,0.218863792938761,0.116785415246976,9.78581690680539
0.05,0.217807800592108,0.111261104246279,9.76743116823553
0.055,0.185880713818887,0.135164200017498,9.75922256236522
0.06,0.166570607850708,0.141057993020386,9.77753564408056
0.065,0.17963238608212,0.142710052397956,9.76014825038847
0.07,0.198525320240415,0.119524152427601,9.74964082187289
0.075,0.177471310794903,0.119924356335863,9.75060495940522
0.08,0.14695563142212,0.157083538119906,9.75019066611112
0.085,0.174892721641931,0.154816475953808,9.73500142645513
0.09,0.229889239893911,0.108235083406058,9.7605794496636
0.095,0.212919908340831,0.0979592368371497,9.75946739231246
0.1,0.169507871933425,0.142770671718212,9.75718311659466
0.105,0.160186091449885,0.153745717654569,9.75982346112932
0.11,0.185903572123309,0.118754410601285,9.74866146002529
0.115,0.21807079413954,0.103992055456023,9.75192698487354
0.12,0.200180823235739,0.117496729565826,9.74661658065494
0.125,0.160286399105101,0.135921522174026,9.75940435397437
0.13,0.145641279420941,0.136529763713232,9.78198499324108
0.135,0.172699947652755,0.123102584897228,9.78766359462045
0.14,0.206360655192035,0.107776662379296,9.78536616135529
0.145,0.195846663964114,0.127420934170894,9.7760758574871
0.15,0.158171286041086,0.161513718193228,9.74774219235507
0.155,0.166259641391258,0.17292492938426,9.75467473966818
0.16,0.215064388999753,0.135816924427384,9.78505918033821
0.165,0.215362181179003,0.100786135361782,9.81391842946561
0.17,0.171905543938955,0.133755789148045,9.795776476391
0.175,0.143346775473204,0.183731355430651,9.75881866636984
0.18,0.163406341230149,0.179090203281804,9.78064249998893
0.185,0.193278192991757,0.127765830137563,9.78315905992457
0.19,0.179741104790116,0.107142400923998,9.77372379801987
0.195,0.162222507018998,0.0993780524716252,9.76698995274668
0.2,0.170305215097098,0.136888292508117,9.74851596257373
0.205,0.197700143607963,0.178357099944712,9.75165658503429
0.21,0.20398264477009,0.125901016876845,9.77622072093762
0.215,0.17135992670842,0.136620612844345,9.7688158640708
0.22,0.148472625956926,0.213177584116267,9.73585076280993
0.225,0.15867766868099,0.147470901800365,9.75758339635337
0.23,0.18002460838923,0.0616075829288579,9.77831749962851
0.235,0.207742315987272,0.0690345065442865,9.77234563018507
0.24,0.187831404978121,0.13351730000748,9.75784579784719
0.245,0.145813773234663,0.166384875696244,9.75430067477839
0.25,0.169684820454934,0.120885534131068,9.77687389622686
0.255,0.202899281297995,0.100849476723194,9.77927678553748
0.26,0.202530489545549,0.0878189549733371,9.78367604711572
0.265,0.17721375722111,0.111704872624734,9.77165381435483
0.27,0.168852827729835,0.156344712071813,9.74726504745652
0.275,0.201483979812448,0.156714052164959,9.7643074583854
0.28,0.220968359650894,0.127730176906016,9.78580978512186
0.285,0.189101763155158,0.104671675476639,9.77606125360499
0.29,0.1572578026371,0.131590111933708,9.74300336047363
0.295,0.172087039559606,0.165246235051282,9.74880441689012
0.3,0.210394494634163,0.141359497595523,9.78492636679036
0.305,0.221564710611675,0.121455273945568,9.7948973632624
0.31,0.171420313355668,0.150617432335595,9.775358552005
0.315,0.11882855467692,0.164445317858835,9.76478259374084
0.32,0.153399800913367,0.132150260114809,9.76890389065191
0.325,0.222008153346554,0.0837160532044063,9.7811165256914
0.33,0.223159487468209,0.0985859929558883,9.79295838491136
0.335,0.173173065182794,0.159816291088663,9.77185657145696
0.34,0.150542064067812,0.151608590740259,9.74698248731971
0.345,0.185437190529,0.104187064817793,9.76156062748007
0.35,0.225878492688463,0.0764586617170141,9.7932001593506
0.355,0.196627938924347,0.0971548625688989,9.7720489347152
0.36,0.142048657101505,0.1485227358312,9.74269714081053
0.365,0.152406892706057,0.156877553332847,9.75242446938256
0.37,0.199501415273017,0.138601947675491,9.78145004054415
0.375,0.213569122594615,0.119677464859543,9.80162258035944
0.38,0.172600609107156,0.137754635268069,9.77407997910289
0.385,0.137476074239964,0.170047660916698,9.72967689732952
0.39,0.169078656290556,0.131161906083572,9.75663198655877
0.395,0.220108113064437,0.0902205337562523,9.78878495731445
0.4,0.203843290818678,0.119292847103835,9.76829580183981
0.405,0.162447829238866,0.14222777428734,9.76026452878331
0.41,0.155239032787356,0.140937859396517,9.76073533215058
0.415,0.178644362130912,0.0991371950433631,9.77689438989435
0.42,0.216269744367403,0.0671098188275437,9.79911673905948
0.425,0.20433817719546,0.11636285348485,9.77892246809708
0.43,0.156223020455128,0.186596240470549,9.73493398174895
0.435,0.148856019986905,0.163044185466979,9.74339882493011
0.44,0.173811446303649,0.111565842896751,9.77110908882253
0.445,0.206860385851971,0.104151412310478,9.79521712524554
0.45,0.186471479647768,0.116988233087401,9.79195478952098
0.455,0.141052853977372,0.169591003694318,9.75771234239121
0.46,0.166836928691579,0.172234864749108,9.76004565625295
0.465,0.213090912324772,0.109953282102149,9.79799788186878
0.47,0.212131951735725,0.101310067702861,9.79839838713607
0.475,0.178413448007895,0.142195253363755,9.76533217675116
