Time,FL0_vel,FL1_vel,FL2_vel,FR0_vel,FR1_vel,FR2_vel,RL0_vel,RL1_vel,RL2_vel,RR0_vel,RR1_vel,RR2_vel
0,87.8930392789414,197.432227123644,-496.278097591903,-81.9716204419771,198.380322797183,-499.771473833967,58.8786448754727,211.894614972384,-503.279857735015,-69.6702558197419,209.619818849736,-505.018452263219
0.005,-11.9578887196999,-26.863350220415,67.5162404514664,11.1526745233442,-26.9886013988646,67.9918117881791,-8.01015552400589,-28.8251334577033,68.4687961328468,9.47751626318079,-28.5164442782192,68.7071579213128
0.01,1.01623971000843,2.28579894931668,-5.74957722836062,-0.953601888400316,2.29814192589412,-5.79351487650667,0.681689312454753,2.45510801844745,-5.83069537738356,-0.804829898059233,2.43108106585277,-5.85050819263862
0.015,0.000515809330534179,0.00238848132075801,0.000275315220902348,0.000438947566284635,0.00214771000471145,-0.0015842148041718,0.00147857192953403,-0.00207129425768745,2.2738482578495e-13,0.000347936656833269,-0.00172335760088807,-0.000348246295492001
0.02,0.00215569517890136,-0.000128941648882899,-0.00129362937621969,-1.02387453460968e-05,9.84382937645885e-05,0.00257341991390165,0.0017829659913255,-0.00021843020893495,2.2738482578495e-13,-0.00151367987630606,-0.00173211008526562,0.000848674690331926
0.025,-0.000189035868389765,0.00196885202164924,-0.000943623870698834,-0.00297458625339617,-0.000704802196053873,0.000907545122028029,-0.00175478355728261,-0.000160832998238395,0.000310789092419667,0.00191561655541118,0.00172151864739972,-0.000362378260692432
0.03,7.62798242190986e-05,-0.00034138525958716,0.00126512508184153,0.00368343436856003,0.00143781552063945,-0.00237231420156999,-0.00157243071899264,-1.11228983583843e-13,-0.00119497497707894,0.00132116393388343,0.00185522859111097,-0.000268128789118811
0.035,-4.09013020697682e-14,-0.00207907279509991,0.000738868063843576,-0.000100386981459981,-0.00190018490646338,0.00131657236394786,0.000510751584129342,-1.11228983583843e-13,-0.00108756220079716,0.0013804259424432,-0.00270966771579136,0.00151604919905539
0.04,-4.70157895525188e-14,-0.000357973247852658,9.83373529894281e-05,-0.00331758512161244,-0.00162060327887153,0.0026568378117775,-9.18097055435636e-05,-9.10378420107514e-14,0.00122995927004109,0.000697517545356153,-0.000896673019985682,-0.000774320331853798
0.045,-4.008397984356e-14,0.00125613145572863,-0.00141019845694491,0.00246571815717871,0.000342452872313656,-0.0010267313694606,0.000156843064213839,-7.8569697152108e-14,0.000839295393955813,-0.00123952535790258,0.00198282098122707,-0.00171236582486707
0.05,-3.28592913986337e-14,-0.000361757957360044,-0.000761241662502107,-0.000949085214168809,0.00214220061432922,-0.000923800089754681,-0.00209304700488177,-4.91536096704814e-05,-0.000197185068408352,-0.000555373458054794,0.000738040397089273,-0.00309236946675239
0.055,-4.62718553317377e-14,0.000140640490054449,0.00119791185460454,-0.00141989650078927,0.000415438908845151,-0.000543556370789524,-0.00126517898151758,0.00048927163681771,2.2738482578495e-13,-0.000672436356456636,1.49538351376126e-05,0.00106136495182816
0.06,-4.09013020697682e-14,0.000846786805374707,0.000531472187085923,0.00452537020149491,-0.00204922007369451,0.000300330065852605,9.56709291818312e-05,0.00336842861371413,3.66711304662266e-05,0.0018401892108229,-1.12897491106202e-13,0.00368029574442788
0.065,0.000121240471672054,-0.00145517124381487,-0.00144990998465338,0.00176275417241287,-0.000362947635177256,-0.000838462222242501,0.00142628225499884,0.00143718765971314,0.000197393204850704,-0.00164119340926852,-1.12897491106202e-13,-5.90920013596191e-05
0.07,-4.10903454588778e-05,0.00175166739887335,6.71799222720735e-05,-0.000475946607985586,-0.000182647637750809,-0.000540300455285157,0.00232757109056962,-0.00187064913652388,0.00226855166657105,-0.00188241816337176,-1.12897491106202e-13,-0.000175964311790323
0.075,0.00210945898982775,0.00124639417105804,0.00147511482155948,7.91682955078008e-05,-8.50097105881652e-14,0.00179232956968841,-0.000325899576849232,-0.00220569106818716,-0.000384462173399465,-0.000700217421604866,-1.12897491106202e-13,-0.000852078872761366
0.08,0.000130590665818818,-0.00344917809070899,-0.000111435530604586,-0.00488314322757577,-8.50097105881652e-14,0.00175781344366405,1.49044982174357e-05,-0.00169942674159228,-0.00124140410317842,0.000776938727702203,-1.12897491106202e-13,0.00135124627640715
0.085,-0.00208085348244426,-0.00342976607395526,0.00150538879202938,-0.0016461912004797,-8.50097105881652e-14,-0.0025220865060399,-6.83353001010155e-05,-0.000120427588417514,-1.48522512498121e-05,0.00410777910783881,-1.12897491106202e-13,0.000935171128702818
0.09,-0.000169235509430154,0.00347930902985803,0.000253131020192269,0.00294938616000762,-1.0907445051493e-13,-0.00385600641307801,0.000876032200422735,0.001929567416382,-0.00119986437268575,-0.00115172576310533,-1.05365093669917e-13,-0.000200619765541288
0.095,-0.000156475557384607,0.0029499262416059,-0.00136397536918804,0.00259687195368093,-9.45475474099509e-14,0.000939986776610347,0.00195230205728349,0.00137236250349353,0.00170428500771891,-0.00144232197637493,-1.19355155099587e-13,-0.00189235661279843
0.1,-3.87083583951209e-14,-0.00352805375466273,-0.000336376090445296,0.00183825640614647,-8.88451679000311e-14,0.00286032837145425,-0.00103098465840342,-0.00188991207891703,0.000206769176475886,-0.00208008732429713,-1.02133575336339e-13,-0.00106864770912398
0.105,-4.77146219990497e-14,0.000268851339843724,-8.1019677403232e-05,-0.00270802096096242,-8.55939254448041e-14,0.0014314909203573,-0.00164138482360421,-0.00110932174402543,-0.000228935282892047,-0.00363121032667839,-9.92708512476384e-14,0.000389125646245286
