Time,FL0_ang,FL1_ang,FL2_ang,FR0_ang,FR1_ang,FR2_ang,RL0_ang,RL1_ang,RL2_ang,RR0_ang,RR1_ang,RR2_ang
0,0.482442170381546,1.08369338512421,-2.72404909133911,-0.449944267670314,1.08890104293823,-2.74322493871053,0.323182344436646,1.16308104991913,-2.76248145103455,-0.382425377766291,1.1505864461263,-2.77203567822774
0.005,0.482442170381546,1.0836881273795,-2.72404909133911,-0.449936193227768,1.08890104293823,-2.74322138795839,0.323182344436646,1.16308630766384,-2.76248145103455,-0.382422561068453,1.15059452056885,-2.77202135095583
0.01,0.482431653890554,1.08366916179657,-2.72404909133911,-0.44994670971876,1.08890104293823,-2.743231897834,0.323182344436646,1.16309316158295,-2.76248145103455,-0.382418898496573,1.15060503705984,-2.77201783132249
0.015,0.482430058717728,1.08367283346615,-2.72404909133911,-0.449956744885826,1.08890471460781,-2.7432435291177,0.323182344436646,1.16308948991337,-2.76248145103455,-0.382413631654168,1.15060663223267,-2.77201922110378
0.02,0.482438996984956,1.08368127346039,-2.72404909133911,-0.449951478288176,1.08891315460205,-2.7432431956279,0.323194456100464,1.16308104991913,-2.76248145103455,-0.382417303323746,1.15059452056885,-2.77201676368713
0.025,0.482442170381546,1.08368127346039,-2.7240571975708,-0.449962492277952,1.0889110788795,-2.74323157620624,0.323194456100464,1.16308104991913,-2.76248145103455,-0.382417303323746,1.15059452056885,-2.77201676368713
0.03,0.482442170381546,1.08369338512421,-2.7240571975708,-0.449960416555405,1.08891315460205,-2.74323788597929,0.323182344436646,1.16308104991913,-2.76248145103455,-0.382405191659927,1.15060663223267,-2.77201676368713
0.035,0.482442170381546,1.08368127346039,-2.72404909133911,-0.449948304891586,1.08891315460205,-2.74324107170105,0.323182344436646,1.16308104991913,-2.76248950958252,-0.382405191659927,1.15060615581336,-2.77201644482382
0.04,0.482442170381546,1.08367554455635,-2.72404909133911,-0.449960416555405,1.08890104293823,-2.74322913116351,0.323182344436646,1.16308104991913,-2.76248950958252,-0.382393079996109,1.15059452056885,-2.7720124917613
0.045,0.482442170381546,1.08368127346039,-2.72404909133911,-0.449961570696036,1.08890104293823,-2.74322485923767,0.323182344436646,1.16308104991913,-2.76248145103455,-0.38239423413674,1.15059452056885,-2.77201676368713
0.05,0.482442170381546,1.08368127346039,-2.7240571975708,-0.449952320345828,1.08890505839247,-2.74323296546936,0.323178328982404,1.16308104991913,-2.76248145103455,-0.382405191659927,1.15060663223267,-2.77203297615051
0.055,0.482442170381546,1.08368127346039,-2.7240571975708,-0.449969571013308,1.08891315460205,-2.74323296546936,0.323170232772827,1.16308104991913,-2.76248145103455,-0.382402234454012,1.15060663223267,-2.7720410823822
0.06,0.482442170381546,1.08368356770608,-2.72404909133911,-0.449958122309717,1.08891086035636,-2.74323296546936,0.323160415354696,1.16309316158295,-2.76248145103455,-0.38240289741424,1.15060663223267,-2.77202333440006
0.065,0.482442170381546,1.08368127346039,-2.72405415727344,-0.449936193227768,1.08890104293823,-2.74323803140369,0.323170232772827,1.16310527324677,-2.76248145103455,-0.382400649097992,1.15060663223267,-2.77201676368713
0.07,0.482442170381546,1.08368127346039,-2.7240571975708,-0.449936193227768,1.08890104293823,-2.74324107170105,0.323182344436646,1.16310527324677,-2.76247339248657,-0.382405906154095,1.15060663223267,-2.77201724189189
0.075,0.482448161145489,1.08369338512421,-2.7240531860302,-0.449936193227768,1.08890104293823,-2.74323706016045,0.323182344436646,1.16309316158295,-2.7624693218819,-0.382417303323746,1.15060663223267,-2.77201676368713
0.08,0.4824542760849,1.08368220349757,-2.72404909133911,-0.4499473748544,1.08890104293823,-2.7432254817035,0.323182344436646,1.16308197995631,-2.76247339248657,-0.382417303323746,1.15060663223267,-2.77202486991882
0.085,0.48244994612243,1.08366482970216,-2.72404620896134,-0.449968196124817,1.08890104293823,-2.74322775867094,0.323182344436646,1.16308104991913,-2.76247856865677,-0.382400859565521,1.15060663223267,-2.77201160457242
0.09,0.482442170381546,1.08366645368359,-2.72404103279114,-0.449963124668381,1.08890104293823,-2.74324736541618,0.323182344436646,1.16308104991913,-2.76247964917985,-0.382393079996109,1.15060663223267,-2.77200870513916
0.095,0.482442170381546,1.08368361627871,-2.72404259159546,-0.449948304891586,1.08890104293823,-2.74325571613642,0.323194456100464,1.16309316158295,-2.76247989223023,-0.382405191659927,1.15060663223267,-2.77201676368713
0.1,0.482442170381546,1.08368127346039,-2.72404909133911,-0.449936193227768,1.08890104293823,-2.74324426611996,0.323194456100464,1.16309316158295,-2.76247339248657,-0.382405191659927,1.15060663223267,-2.77202486991882
0.105,0.482442170381546,1.08366916179657,-2.72404909133911,-0.449936691143909,1.08890104293823,-2.74323296546936,0.323182344436646,1.16308104991913,-2.76247339248657,-0.382429414987564,1.15060663223267,-2.77202486991882
0.11,0.482442170381546,1.08368127346039,-2.72405287997332,-0.449948304891586,1.08890104293823,-2.74322109288954,0.323182344436646,1.16308104991913,-2.76247339248657,-0.382429414987564,1.15060663223267,-2.77202865855304
0.115,0.482442170381546,1.08369338512421,-2.7240571975708,-0.449948304891586,1.08890104293823,-2.74322395068299,0.323170232772827,1.16308104991913,-2.7624653339386,-0.382406620392587,1.15060663223267,-2.77203297615051
0.12,0.482442170381546,1.08369338512421,-2.72405464151504,-0.44994001227578,1.08890104293823,-2.74322490692139,0.323170232772827,1.16308104991913,-2.76247339248657,-0.382405191659927,1.15060663223267,-2.77201420763138
0.125,0.482442170381546,1.08369338512421,-2.72404909133911,-0.449960416555405,1.08889201943018,-2.7432188675656,0.323182344436646,1.16308104991913,-2.76247339248657,-0.382405191659927,1.15060663223267,-2.77202280304292
0.13,0.482442170381546,1.08369338512421,-2.72404909133911,-0.449972528219223,1.08888893127441,-2.74321963497259,0.323182344436646,1.16308104991913,-2.7624653339386,-0.382417303323746,1.15060663223267,-2.77203297615051
0.135,0.482442170381546,1.08369338512421,-2.72404909133911,-0.449952892416309,1.08889645541351,-2.74323800131049,0.323194456100464,1.16308104991913,-2.76247339248657,-0.382417303323746,1.15060663223267,-2.7720198340777
